City,Station,Datetime,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
Agartala,"Bardowali, Agartala - Tripura SPCB",2026-08-28 22:00:00,35.0,2.0,13.0,1.0,75.0,43.0,14.0
Mumbai,"Borivali East, Mumbai - IITM",2026-08-28 22:00:00,32.0,2.0,11.0,34.0,45.0,21.0,14.0
Mumbai,"Bandra Kurla Complex, Mumbai - IITM",2026-08-28 22:00:00,26.0,2.0,11.0,11.0,68.0,14.0,5.0
Motihari,"Gandak Colony, Motihari - BSPCB",2026-08-28 22:00:00,13.0,1.0,3.0,56.0,43.0,50.0,3.0
Moradabad,"Transport Nagar, Moradabad - UPPCB",2026-08-28 22:00:00,55.0,5.0,24.0,102.0,89.0,74.0,21.0
Moradabad,"Kashiram Nagar, Moradabad - UPPCB",2026-08-28 22:00:00,40.0,4.0,25.0,21.0,60.0,54.0,21.0
Moradabad,"Jigar Colony, Moradabad - UPPCB",2026-08-28 22:00:00,40.0,6.0,25.0,22.0,63.0,48.0,45.0
Moradabad,"Employment Office, Moradabad - UPPCB",2026-08-28 22:00:00,12.0,3.0,23.0,18.0,58.0,63.0,33.0
Moradabad,"Eco Herbal Park, Moradabad - UPPCB",2026-08-28 22:00:00,16.0,6.0,17.0,25.0,63.0,60.0,10.0
Moradabad,"Buddhi Vihar, Moradabad - UPPCB",2026-08-28 22:00:00,19.0,5.0,29.0,42.0,72.0,42.0,34.0
Modinagar,"SRM University, Modinagar - UPPCB",2026-08-28 22:00:00,18.0,3.0,19.0,19.0,103.0,74.0,14.0
Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2026-08-28 22:00:00,11.0,2.0,4.0,13.0,26.0,19.0,2.0
Milupara,"Govt. Higher Secondary School, Milupara - CECB",2026-08-28 22:00:00,12.0,1.0,22.0,39.0,16.0,13.0,14.0
Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",2026-08-28 22:00:00,44.0,0.0,4.0,9.0,75.0,36.0,14.0
Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",2026-08-28 22:00:00,27.0,7.0,27.0,22.0,130.0,119.0,13.0
Meerut,"MIET College, Meerut - UPPCB",2026-08-28 22:00:00,50.0,3.0,31.0,31.0,116.0,45.0,2.0
Meerut,"Ganga Nagar, Meerut - UPPCB",2026-08-28 22:00:00,48.0,7.0,44.0,57.0,116.0,69.0,22.0
Mathura,"Pali Dungra, Mathura - UPPCB",2026-08-28 22:00:00,18.0,1.0,4.0,8.0,120.0,29.0,12.0
Manguraha,"Forest Rest House, Manguraha - BSPCB",2026-08-28 22:00:00,42.0,1.0,13.0,34.0,120.0,29.0,12.0
Manesar,"Sector-2 IMT, Manesar - HSPCB",2026-08-28 22:00:00,42.0,1.0,13.0,9.0,120.0,29.0,12.0
Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",2026-08-28 22:00:00,31.0,1.0,13.0,25.0,109.0,103.0,12.0
Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",2026-08-28 22:00:00,48.0,5.0,25.0,62.0,93.0,62.0,12.0
Malegaon,"Mahesh Nagar, Malegaon - MPCB",2026-08-28 22:00:00,20.0,1.0,17.0,20.0,86.0,50.0,1.0
Maihar,"Sahilara, Maihar - KJS Cements",2026-08-28 22:00:00,26.0,1.0,17.0,20.0,35.0,10.0,12.0
Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",2026-08-28 22:00:00,40.0,3.0,10.0,27.0,39.0,29.0,8.0
Madikeri,"Stuart Hill, Madikeri - KSPCB",2026-08-28 22:00:00,12.0,1.0,2.0,2.0,23.0,22.0,7.0
Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-08-28 22:00:00,19.0,3.0,32.0,31.0,23.0,22.0,9.0
Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",2026-08-28 22:00:00,43.0,14.0,20.0,32.0,23.0,22.0,9.0
Mumbai,"Byculla, Mumbai - BMC",2026-08-28 22:00:00,32.0,2.0,9.0,8.0,24.0,15.0,5.0
Lucknow,"Lalbagh, Lucknow - CPCB",2026-08-28 22:00:00,29.0,14.0,22.0,31.0,24.0,15.0,5.0
