country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","28-08-2026 22:00:00",28.6811736,77.3025234,PM10,72,124,97
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","28-08-2026 22:00:00",28.6811736,77.3025234,NO2,46,48,47
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","28-08-2026 22:00:00",28.6811736,77.3025234,OZONE,5,34,17
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-08-2026 22:00:00",28.56789,77.250515,PM2.5,3,297,98
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-08-2026 22:00:00",28.56789,77.250515,NO2,13,72,28
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-08-2026 22:00:00",28.56789,77.250515,NH3,6,9,7
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-08-2026 22:00:00",28.56789,77.250515,OZONE,3,28,18
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","28-08-2026 22:00:00",28.623763,77.287209,SO2,NA,NA,NA
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","28-08-2026 22:00:00",28.623763,77.287209,OZONE,8,22,14
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","28-08-2026 22:00:00",28.58028,77.233829,SO2,2,46,13
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","28-08-2026 22:00:00",28.58028,77.233829,CO,12,54,24
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-08-2026 22:00:00",28.570173,76.933762,PM2.5,20,93,50
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-08-2026 22:00:00",28.570173,76.933762,NO2,8,28,13
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","28-08-2026 22:00:00",28.699793,77.165453,CO,50,111,71
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","28-08-2026 22:00:00",28.594004,76.909423,NH3,0,9,2
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","28-08-2026 22:00:00",28.594004,76.909423,CO,32,48,37
